Suivi KPI,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
,,,Période ,,,,,,,Q2/2024,
Processus ,KPI,,Juillet,Valeur,Valeur,Valeur,Valeur,Août,Septembre,Total du trimestre,Commentaires
,Nb de présentations aux clients,,trimestriel,,,,,trimestriel,trimestriel,,
RECRUTEMENT,Nb de candidats contactés,,109,,,,,35,50,194,
,Nb d'entretiens candidats Salariés,,4,,,,,0,1,5,
,Nb d'entretiens candidats Sous-Traitants,,15,,,,,4,6,25,
,Nb de candidats recrutés Salariés ,,0,,,,,0,0,0,
,Nb de candidats intégrés Sous Traitants ,,0,,,,,0,0,0,
,Nombre de présentations clients ,,1,,,,,0,0,1, 
,Nb de refus CDI Salariés ,,0,,,,,0,0,0, 
,Nombre de KO candidat à la suite d'une présentation client ,,0,,,,,0,0,0,
,Nombre de KO client à la suite d'une présentation client ,,1,,,,,0,0,1,Syx Shema - Data Engineer
