Suivi KPI,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
,,,Période ,,,,,,,Q1/2023,
Processus ,KPI,,Juillet,Valeur,Valeur,Valeur,Valeur,Août,Septembre,Total du trimestre,Commentaires
,Nb de présentations aux clients,,trimestriel,,,,,trimestriel,trimestriel,,
RECRUTEMENT,Nb de candidats contactés,,116,,,,,55,28,199,
,Nb d'entretiens candidats Salariés,,2,,,,,1,1,4,
,Nb d'entretiens candidats Sous-Traitants,,13,,,,,18,5,36,
,Nb de candidats recrutés Salariés ,,0,,,,,0,1,1,Sarra KIBROUMA- IED Java Fullstack chez Finaxio
,Nb de candidats intégrés Sous Traitants ,,0,,,,,1,0,1,Oussimi EL ROBERTO - IED Java Fullstack à la STAME  
,Nombre de présentations clients ,,0,,,,,2,3,5, 
,Nb de refus CDI Salariés ,,0,,,,,0,0,0, 
,Nombre de KO candidat à la suite d'une présentation client ,,0,,,,,1,0,0,"KO candidat Gyz TABLEAU - on avait le GO chez Finaxy, nous a plantés au dernier moment"
,Nombre de KO client à la suite d'une présentation client ,,0,,,,,0,1,1, 
