Processus,KPI,Type,Juillet,Valeur1,Valeur2,Valeur3,Valeur4,Août,Septembre,Total Trimestre,Commentaires
,Nb de présentations aux clients,,trimestriel,,,,,trimestriel,trimestriel,,
RECRUTEMENT,Nb de candidats contactés,,110,,,,,36,34,180.0,
RECRUTEMENT,Nb d'entretiens candidats Salariés,,3,,,,,2,2,7.0,
RECRUTEMENT,Nb d'entretiens candidats Sous-Traitants,,16,,,,,10,9,35.0,
RECRUTEMENT,Nb de candidats recrutés Salariés ,,0,,,,,0,0,0.0,
RECRUTEMENT,Nb de candidats intégrés Sous Traitants ,,0,,,,,0,0,0.0,
RECRUTEMENT,Nombre de présentations clients ,,0,,,,,0,1,1.0,Olivier BATEAUX chez CEPB
RECRUTEMENT,Nb de refus CDI Salariés ,,0,,,,,0,0,0.0, 
RECRUTEMENT,Nombre de KO candidat à la suite d'une présentation client ,,0,,,,,0,0,0.0,
RECRUTEMENT,Nombre de KO client à la suite d'une présentation client ,,0,,,,,0,0,0.0, 
